Title,Category 2,Category 3,Supplement Facts
"MediNatura, WellMind Calming Day/Night, 100 Tablets",Homeopathy Formulas,Cognitive & Memory Formulas,
"Natrol, B-Complex, Fast Dissolve, Coconut, 90 Tablets",Vitamin B Complex,,"Supplement FactsServing Size: 1 TabletServings Per Container: 90 Amount Per Serving% DVVitamin B1 (as Thiamine Hydrochloride)0.50 mg40%Vitamin B2 (Riboflavin)0.57 mg45%Vitamin B3 (as Niacinamide)3.33 mg20%Vitamin B6 (as Pyridoxine HCI)0.67 mg40%Vitamin B12 (as Cyanocobalamin)10 mcg420%Biotin333 mcg1,110%Pantothenic Acid (as D-Calcium Pantothenate)1.67 mg35%Coconut Powder (4:1)167 mg** Daily Values (DV) not established."
"Nature's Bounty, Selenium, 200 mcg, 100 Tablets",Selenium,,Supplement FactsServing Size: 1 TabletAmount Per Serving%Daily ValueSelenium (as Selenium Yeast)200 mcg364%
"Dr. Mercola, Zinc plus Selenium, 30 Capsules",Zinc,Selenium,Supplement FactsServing Size: 1 CapsuleServings Per Container: 30 Amount Per Serving%DVZinc (from Zinc Bisglycinate Chelate)15 mg136%Selenium [from Selenium Yeast (Saccharomyces cerevisiae)]200 mcg364%Copper (from Copper Bisglycinate Chelate)0.25 mg28%
"Harney & Sons, Paris Tea, 1 lb ",Black Tea,Herbal Tea,
"Crystal Star, Liver Renew, 90 Vegetarian Capsules",Liver Formulas,,"Supplement FactsServing Size: 2 capsulesServings Per Container: 45 Amount Per Serving%Daily ValueProprietary herbal blend1.3 g †Burdock (Root), Artichoke (Leaf), Milk Thistle Extract (Seed), Bupleurum Extract (Root), Wild Yam (Root), Lycium (Goji Berry), Dandelion (Root), Oregon Grape (Root), Ginkgo Biloba (Leaf), Reishi Mushroom, Schisandra (Fruit), Chinese Salvia (Root), Dandelion (Leaf), Gynostemma, Barberry (Root Bark), Tribulus (Fruit), Watercress (Leaf), Grape (Seed), Ginger, Cardamom, Turmeric, Maitake Mushroom†Daily Value not established"
"Superior Source, Methylcobalamin B-12, B-6 & Folic, 60 MicroLingual Instant Dissolve Tablets",Vitamin B,,"Supplement FactsServing Size: 1 MicroLingual® TabletServings Per Container: 60 Amount Per Serving% Daily ValueVitamin B6 (as pyridoxine hydrochloride)2 mg117.7%Folate (as folic acid)1,333 mcg DFE(800 mcg folic acid)333%Vitamin B12 (as methylcobalamin)1,000 mcg41,667%Stevia Leaf Extract2 mg††Daily value not established."
"NOW Foods, Elderberry, 500 mg, 120 Veg Capsules",Elderberry Sambucus,Common Cold & Flu,Supplement FactsServing Size: 1 Veg Capsule Amount Per Serving%Daily ValueElderberry (10:1 Concentrate) (Sambucus nigra) (Fruit)500 mg****Daily Value not established.
"EPI, Moducare, 90 Vegetarian Capsules",Pine Bark Extract,Immune Formulas,Supplement FactsServing Size: 1 CapsuleServings Per Container: 90 Amount Per Serving% Daily ValueModucare®   Plant Sterols (from Maritime Pine)20 mg**Plant Sterolins (from Maritime Pine)0.2 mg**** Daily Value not established
"Sports Research, Women's Probiotics, Cranberry + Prebiotics, 30 Delayed Release Veggie Capsules",Probiotics,Women's Health,"Supplement FactsServing Size: 1 Veggie CapsuleServings Per Container: 30 Amount Per Serving%Daily Value*Women's Probiotic BlendBifidobacterium bifidum, Bifidobacterium breve, Bifidobacterium longum subsp. infantis, Bifidobacterium animalis subsp. lactis, Bifidobacterium longum subsp. longum, Lactobacillus acidophilus, Lactobacillus casei, Lactobacillus fermentum, Lactobacillus gasseri, Lactobacillus jensenii, Lactobacillus paracasei, Lactobacillus plantarum WCFS1™, Lactobacillus reuteri, Lactobacillus rhamnosus GG, Lactobacillus salivarius, Lactococcus lactis subsp. lactis.298 mg (65 Billion CFU)*Prebiotic BlendOrganic Acacia Senegal Gum, Organic Inulin (from Jerusalem Artichoke (tuber) and Agave).60 mg *Cranberry Powder(Vaccinium macrocarpon, fruit) (37:1)60 mg **Daily Value not established."
"Nature Made, Folic Acid, 400 mcg, 250 Tablets",Folic Acid,,Supplement FactsServing Size: 1 Tablet Amount Per Serving% Daily ValueFolate665 mcg DFE(400 mcg Folic Acid)167%Calcium (as Calcium Carbonate and Dibasic Calcium Phosphate)70 mg6%DFE = Dietary Folate Equivalents
"Enzymedica, Digest Spectrum, Complete Food Intolerance Formula, 90 Capsules",Digestive Enzymes,,"Supplement FactsServing Size: 2 CapsulesServing Per Container: 45 Amount Per Serving%DVDPP-IV1,400 DPPU**Amylase Thera-blend™14,000 DU**Xylanase20,000 XU**Protease Thera-blend™98,000 HUT**Alpha Galactosidase600 GalU**Glucoamylase40 AGU**Lactase2,000 ALU**Lipase Thera-blend™916 FCCFIP**Maltase200 DPº**Cellulase Thera-blend™400 CU**Invertase150 SU**Pectinase (w/Phytase)50 Endo-PGU**Hemicellulase50 HCU**** Daily Value not established"
"Vplab, L-Carnitine, 500 mg, 90 Capsules",L-Carnitine,,Supplement FactsServing Size: 3 CapsulesServings Per Container: 90 Amount Per Serving%Daily Value* L-Carnitine L-Tartrate1500 mg* *Daily Value not established.
"Choice Organic Teas, Herbal Tea, Mandarin Ginger, Caffeine Free, 16 Tea Bags, 1.02 oz (29 g)",Ginger Tea,Herbal Tea,
"Twinings, Herbal Tea, Camomile, Honey & Vanilla, Caffeine Free, 20 Tea Bags, 1.13 oz (32 g)",Chamomile Tea,,
"21st Century, Niacin, Prolonged Release, 250 mg, 110 Tablets",B3 Niacin,,"Supplement FactsServing Size: 1 Tablet Amount Per Serving% Daily ValueNiacin250 mg1,563%Calcium (as Calcium Carbonate)125 mg10%"
"Enzymedica, Digest Spectrum, Complete Food Intolerance Formula, 30 Capsules",Digestive Enzymes,,"Supplement FactsServing Size: 2 CapsulesServings Per Container:  15 Amount Per Serving%Daily ValueDPP-IV1,400 DPPU**Amylase Thera-blend™14,000 DU**Xylanase20,000 XU**Protease Thera-blend™98,000 HUT**Alpha Galactosidase600 GaIU**Glucoamylase40 AGU**Lactase2,000 ALU**Lipase Thera-blend™916 FCCFIP**Maltase200 DP**Cellulase Thera-blend™400 CU**Invertase150 SU**Pectinase (w/Phytase)50 Endo-PGU**Hemicellulase50 HCU****Daily Value not established"
"Solgar, Reduced L-Glutathione, 250 mg, 60 Vegetable Capsules",L-Glutathione,,Supplement FactsServing Size: 1 Vegetable Capsule Amount Per Serving% Daily ValueL-Glutathione(reduced)(Free Form)250 mg****Daily Value not established.
"Ecological Formulas, Allithiamine (Vitamin B1), 50 mg, 250 Capsules ",B1,,Supplement FactsServing Size: 1 CapsuleServings Per Container: 250 Amount Per Serving%Daily ValueThiamine (TTFD)(as thiamin tetrahydrofurfuryl disulfide)50 mg**** Daily Value Not Established
"Nature's Way, L-Theanine, 60 Veg Capsules",L-Theanine,,Supplement FactsServing Size: 2 capsulesServings Per Container: 30 Amount per capsule% Daily ValueL-Theanine (Suntheanine® )200 mg****Daily Value (DV) not established.
"Eclectic Institute, Freeze Dried Fresh, Turmeric, 395 mg, 90 Veg Caps",Turmeric & Curcumin,,Supplement FactsServing Size: 1 capsule Amount Per Serving%DVOrganic Freeze-dried Turmeric rhizome (Curcuma longa)395 mg††Daily Value not established.
"Solgar, Selenium, Yeast-Free, 100 mcg, 100 Tablets",Selenium,,Supplement FactsServing Size: 1 Tablet Amount Per Serving% DVSelenium (as L-selenomethionine)100 mcg182%DV = Daily Value.
"Reviva Labs, High Potency Vitamin C Serum, 1 fl oz (29.5 ml)",Brightening,Vitamin C Serums,
