Title,Category 2,Category 3,Supplement Facts,fail_reason
"MediNatura, WellMind Calming Day/Night, 100 Tablets",Homeopathy Formulas,Cognitive & Memory Formulas,,공란 또는 타입 오류
"Natrol, B-Complex, Fast Dissolve, Coconut, 90 Tablets",Vitamin B Complex,,"Supplement FactsServing Size: 1 TabletServings Per Container: 90 Amount Per Serving% DVVitamin B1 (as Thiamine Hydrochloride)0.50 mg40%Vitamin B2 (Riboflavin)0.57 mg45%Vitamin B3 (as Niacinamide)3.33 mg20%Vitamin B6 (as Pyridoxine HCI)0.67 mg40%Vitamin B12 (as Cyanocobalamin)10 mcg420%Biotin333 mcg1,110%Pantothenic Acid (as D-Calcium Pantothenate)1.67 mg35%Coconut Powder (4:1)167 mg** Daily Values (DV) not established.",성분 추출 실패
"NOW Foods, Glycine, Pure Powder, 1 lb (454 g)",L-Glycine,,"

Supplement Facts


Serving Size: 3/4 Level Teaspoon (approx. 3 g)


Servings Per Container: about 151


 
Amount Per Serving
% Daily Value


Glycine (Free-Form)
3 g (3,000 mg)
*


* Daily Value not established.

",성분 추출 실패
"Nature's Bounty, Selenium, 200 mcg, 100 Tablets",Selenium,,Supplement FactsServing Size: 1 TabletAmount Per Serving%Daily ValueSelenium (as Selenium Yeast)200 mcg364%,성분 추출 실패
"Dr. Mercola, Zinc plus Selenium, 30 Capsules",Zinc,Selenium,Supplement FactsServing Size: 1 CapsuleServings Per Container: 30 Amount Per Serving%DVZinc (from Zinc Bisglycinate Chelate)15 mg136%Selenium [from Selenium Yeast (Saccharomyces cerevisiae)]200 mcg364%Copper (from Copper Bisglycinate Chelate)0.25 mg28%,성분 추출 실패
"Zand, Echinacea Zinc, Very Cherry, 80 Throat Lozenges",Zinc,Sore Throat & Cough Lozenges,"Supplement FactsServing Size: 1 lozenge (3.8 g)Servings Per Container: 80 Amount Per Serving% Daily ValueCalories15 Total Carbohydrate3 g1%†Sugars2 g*Zinc (from Zinc Gluconate)5 mg45%†Proprietary BlendBrown Rice Syrup, Natural Cherry Flavor, Citric Acid and extracts of Echinacea Root (Echinacea purpurea), Hibiscus Flower, Orange Peel, Lemon Peel, Rose Hips (Rosa canina), Lemongrass (Cymbopogon citratus), Perilla Leaf and Schizonepeta Herb.3.8 g** Daily Value not established.† Percent Daily Values are based on a 2,000 calorie diet.",성분 추출 실패
"Harney & Sons, Paris Tea, 1 lb ",Black Tea,Herbal Tea,,공란 또는 타입 오류
"Crystal Star, Liver Renew, 90 Vegetarian Capsules",Liver Formulas,,"Supplement FactsServing Size: 2 capsulesServings Per Container: 45 Amount Per Serving%Daily ValueProprietary herbal blend1.3 g †Burdock (Root), Artichoke (Leaf), Milk Thistle Extract (Seed), Bupleurum Extract (Root), Wild Yam (Root), Lycium (Goji Berry), Dandelion (Root), Oregon Grape (Root), Ginkgo Biloba (Leaf), Reishi Mushroom, Schisandra (Fruit), Chinese Salvia (Root), Dandelion (Leaf), Gynostemma, Barberry (Root Bark), Tribulus (Fruit), Watercress (Leaf), Grape (Seed), Ginger, Cardamom, Turmeric, Maitake Mushroom†Daily Value not established",성분 추출 실패
"Superior Source, Methylcobalamin B-12, B-6 & Folic, 60 MicroLingual Instant Dissolve Tablets",Vitamin B,,"Supplement FactsServing Size: 1 MicroLingual® TabletServings Per Container: 60 Amount Per Serving% Daily ValueVitamin B6 (as pyridoxine hydrochloride)2 mg117.7%Folate (as folic acid)1,333 mcg DFE(800 mcg folic acid)333%Vitamin B12 (as methylcobalamin)1,000 mcg41,667%Stevia Leaf Extract2 mg††Daily value not established.",성분 추출 실패
"Life Extension, Standardized Cistanche, 30 Vegetarian Capsules",Herbs,Immune Formulas,"Supplement FactsServing Size: 1 Vegetarian Capsule Amount Per Serving% Daily ValueVitamin C (as ascorbyl palmitate)2 mg2%Cistanche tubulosa extract (stem, leaf) [std. to 22% echinacosides]210 mg**** Daily Value not established.",성분 추출 실패
"NutraChamps, L-Arginine, 60 Easy-to-Swallow Veggie Capsules",L-Arginine,,Supplement FactsServing Size: 2 CapsulesServings Per Container: 30Amount Per Serving%Daily ValueL-Arginine HCI500 mg**L-Arginine Alphaketoglutarate 2:1500 mg**L-Citrulline DL-Malate 2:1250 mg**Grape Seed Extract (Vitis vinifera) (Standardized to 95% Proanthocyanidins)50 mg**Ginger Root Powder (Zingiber officinale)30 mg****Daily Value (DV) not established.,성분 추출 실패
"NOW Foods, Elderberry, 500 mg, 120 Veg Capsules",Elderberry Sambucus,Common Cold & Flu,Supplement FactsServing Size: 1 Veg Capsule Amount Per Serving%Daily ValueElderberry (10:1 Concentrate) (Sambucus nigra) (Fruit)500 mg****Daily Value not established.,성분 추출 실패
