Title,Category 2,Category 3,Supplement Facts,fail_reason_final
"MediNatura, WellMind Calming Day/Night, 100 Tablets",Homeopathy Formulas,Cognitive & Memory Formulas,,공란 또는 타입 오류
"NutraChamps, L-Arginine, 60 Easy-to-Swallow Veggie Capsules",L-Arginine,,Supplement FactsServing Size: 2 CapsulesServings Per Container: 30Amount Per Serving%Daily ValueL-Arginine HCI500 mg**L-Arginine Alphaketoglutarate 2:1500 mg**L-Citrulline DL-Malate 2:1250 mg**Grape Seed Extract (Vitis vinifera) (Standardized to 95% Proanthocyanidins)50 mg**Ginger Root Powder (Zingiber officinale)30 mg****Daily Value (DV) not established.,성분 추출 실패
"NOW Foods, Elderberry, 500 mg, 120 Veg Capsules",Elderberry Sambucus,Common Cold & Flu,Supplement FactsServing Size: 1 Veg Capsule Amount Per Serving%Daily ValueElderberry (10:1 Concentrate) (Sambucus nigra) (Fruit)500 mg****Daily Value not established.,성분 추출 실패
"Optimum Nutrition, ESSENTIAL AMIN.O. ENERGY, Watermelon, 1.29 lb (585 g)",Amino Acid Blends,,"Supplement FactsServing Size: 9 g (About 2 Scoops)Servings Per Container: 30 Amount Per Serving%Daily ValueCalories5  Total Carbohydrate1 g<1%*Sodium10 mg<1%Amino BlendMicronized Taurine, Micronized L-Glutamine, Micronized L-Arginine, Micronized L-Leucine, Beta-Alanine, Micronized L-Citrulline, Micronized L-Isoleucine, Micronized L-Valine, Micronized L-Tyrosine, Micronized L-Histidine, Micronized L-Lysine Hydrochloride, Micronized L-Phenylalanine, Micronized L-Threonine, Micronized L-Methionine.5 g**Caffeine‡100 mg**Green Tea Leaf Extract50 mg**Green Coffee Bean Extract10 mg***Percent Daily Values are based on a 2,000 calorie diet.**Daily Value not established.‡Caffeine from tea leaf and/or coffee bean.",성분 추출 실패
"Nordic Naturals, Nordic Omega-3 Fishies, For Ages 2+, Yummy Tutti Frutti Taste, 300 mg, 36 Fishies",Children's DHA & Omegas,,"Supplement FactsServing Size: 1 FishieServings Per Box: 36 Amount Per Serving% 2-4 yrs♦% 4+ yrs**Calories5  Total Fat0.5 g1%<1%Saturated Fat0 g†0%Trans Fat0 g††Total Omega-3s300 mg††EPA (Eicosapentaenoic Acid)150 mg††DHA (Docosahexaenoic Acid)100 mg††Other Omega-3s50 mg††♦Percent Daily Values are based on a 1,000 calorie diet.**Percent Daily Values are based on a 2,000 calorie diet.†Daily Value not established.1Daily Value (DV) for children 1-3 years of age. 2Daily Value (DV) for adults and children over 4 years of age. ",성분 추출 실패
"Vplab, L-Carnitine, 500 mg, 90 Capsules",L-Carnitine,,Supplement FactsServing Size: 3 CapsulesServings Per Container: 90 Amount Per Serving%Daily Value* L-Carnitine L-Tartrate1500 mg* *Daily Value not established.,성분 추출 실패
"Enzymedica, Digest Spectrum, Complete Food Intolerance Formula, 30 Capsules",Digestive Enzymes,,"Supplement FactsServing Size: 2 CapsulesServings Per Container:  15 Amount Per Serving%Daily ValueDPP-IV1,400 DPPU**Amylase Thera-blend™14,000 DU**Xylanase20,000 XU**Protease Thera-blend™98,000 HUT**Alpha Galactosidase600 GaIU**Glucoamylase40 AGU**Lactase2,000 ALU**Lipase Thera-blend™916 FCCFIP**Maltase200 DP**Cellulase Thera-blend™400 CU**Invertase150 SU**Pectinase (w/Phytase)50 Endo-PGU**Hemicellulase50 HCU****Daily Value not established",성분 추출 실패
"Solgar, Reduced L-Glutathione, 250 mg, 60 Vegetable Capsules",L-Glutathione,,Supplement FactsServing Size: 1 Vegetable Capsule Amount Per Serving% Daily ValueL-Glutathione(reduced)(Free Form)250 mg****Daily Value not established.,성분 추출 실패
"BPI Sports, CLA + Carnitine, Snow Cone, 12.34 oz (350 g)",CLA (Conjugated Linoleic Acid),L-Carnitine,"Supplement FactsServing Size: 1 Scoop (7 grams)Serving Per Container: 50 Amount Per Serving% Daily ValueCalories10 Calories from Fat10 Total Fat1 g2%†Vitamin D3 (as cholecalciferol)250 mcg (10,000 IU)1,250%Omega 6 Fatty Acids & CLA Matrix (Proprietary)Coconut oil powder (fruit), avocado oil powder (fruit), safflower oil powder (seed) [providing CLA (conjugated linoleic acid)]2.5 g**Carnitine Matrix (Proprietary blend)Carnitine betaine anhydrous, L-Carnitine Tartrate, Glycerin Propionyl L-Carnitine HCI2 g**†Percent Daily Values are based on a 2,000 calorie diet.**Daily Value not established.",성분 추출 실패
"Nature's Way, L-Theanine, 60 Veg Capsules",L-Theanine,,Supplement FactsServing Size: 2 capsulesServings Per Container: 30 Amount per capsule% Daily ValueL-Theanine (Suntheanine® )200 mg****Daily Value (DV) not established.,성분 추출 실패
"Zhou Nutrition, Energy + Focus, 60 Veggie Capsules",Cognitive & Memory Formulas,Energy Formulas,Supplement FactsServing Size: 1 Vegetable CapsuleServings Per Container: 60Amount Per Serving% Daily ValueL-Theanine200 mg**L-Leucine10 mg**Natural Caffeine (Anhydrous) (extracted from 95% Coffee arabica and 5% Coffea canephora)100 mg****Daily Value (DV) not established.,성분 추출 실패
"Eclectic Institute, Freeze Dried Fresh, Turmeric, 395 mg, 90 Veg Caps",Turmeric & Curcumin,,Supplement FactsServing Size: 1 capsule Amount Per Serving%DVOrganic Freeze-dried Turmeric rhizome (Curcuma longa)395 mg††Daily Value not established.,성분 추출 실패
"Kyolic, Aged Garlic Extract, Reserve, 60 Capsules",Garlic,,Supplement FactsServing Size: 2 capsulesServings Per Container: 30Amount per serving%Daily ValueAged Garlic Extract™†† Powder (bulb)1200 mg****Daily Value not established††Special Garlic Preparation,성분 추출 실패
"Vital Proteins, Matcha Collagen, Original Matcha, 12 oz (341 g)",Collagen Supplements,,"Supplement FactsServing Size: 1 Scoop (14 g)Servings Per Container: About 24 Amount Per Serving%Daily ValueCalories50 Total Carbohydrate3 g1%*Total Sugars2 g**Protein9 g0%* Sodium60 mg3%Collagen peptides (from bovine)10 g**Caffeine50 mg**L-Theanine20 mg**Percent Daily Values (DV) are based on a 2,000 calorie diet.*Daily Value not established",성분 추출 실패
"Vital Proteins, Collagen Peptides, Dark Chocolate Blackberry, 10.8 oz (305 g)",Collagen Supplements,,"Supplement FactsServing Size: 1 Scoop (30 g)Servings Per Container: About 10 Amount Per Serving%Daily ValueCalories110 Total Carbohydrate8 g3%*Total Sugars5 g**Protein18 g0%* Magnesium20 mg5%Sodium110 mg5%Potassium300 mg6%Collagen peptides (from bovine)20 g***Percent Daily Values are based on a 2,000 calorie diet.**Daily Value not established.",성분 추출 실패
