Title,Category 1,Category 2,Category 3,Description
"Koelf, Melting Essence Foot Pack, 10 Pairs",Koelf,Hand & Foot Care Treatments,K-Beauty Body Care," Avocado & Shea Butter Natural Butter BlendingKoelf Melting Essence Foot Mask Highly Moisturizing Essence with Non-Sticky!Urea dissolves dead skin cells gently and makes feet silky smooth. Contains super ingredients such as Avocados, Shea Butter and Sunflower Oil. It provides nutrients and moisture and creates smooth and moisturized hands for 24 hours."
"Cos De BAHA, M.A Peptide Serum, 2 fl oz (60 ml)",Cos De BAHA,Serums,K-Beauty Treatments & Serums,"Palmitoyl Tripeptide-1 Palmitoyl Tetrapeptide-7Acetyl Hexapeptide-824 Hours Low-Temperature AgingCos De BAHA M.A Peptide Serum contains Palmitoyl Tripeptide-1, Palmitoyl Tetrapeptide-7, Acetyl Hexapeptide-8, Niacinamide (Vitamin B3) 2% and Hyaluronic Acid as active ingredients.Cos De BAHA produces the cosmetic products in facilities certified by the Korea KFDA.Cos De BAHA products are created from the effective ingredients, formulated according to scientific research that determines the precise blend of the most effective scientific ingredients.We will always try to make products that are safe and effective on the skin."
"Nature's Truth, E-Oil, Lemon, 30,000 IU (13,500 mg), 4 fl oz (118 ml)",Nature's Truth,Vitamin E Oils,,"100% Pure Oils30,000 IU (13,500 mg) Per BottleSkin Care OilGluten FreeNon GMOMoisturizing + Nourishing Skin Care Oil100% QualityParaben FreeQuality AssuredMoisturize and nourish your skin with Nature's Truth Vitamin E Oil! This hydrating skin oil, featuring vitamin E in a base of soothing plant oils, helps moisturize and soften dry, rough skin, and will quickly become a must-have in your daily beauty routine!"
"6AM Run, Super Greens, Mixed Berry, 9.5 oz (270 g)",6AM Run,Greens Blends,,"Immunity + Overall HealthDigestive Health + DetoxificationDietary Supplement6AM Run Super Greens is the ultimate nutrient-dense superfood powder. You can enjoy over 30 nutrient rich greens and super fruits in a delicious berry flavored drink that helps boost your immune system, reduces inflammation, detoxifies toxins and promotes healthy digestion when taken daily. It's the perfect way to start your day."
"Leaders, Mediu, Amino Lifting Beauty Mask, 1 Sheet, 25 ml ",Leaders,Anti-Aging Masks,K-Beauty Face Masks & Peels," Lifting + Amino Acid Amino Acid Complex with Leucine Vitamin A Collagen Dry / All Skin TypesLeaders Mediu's Amino masks contain 17 different types of amino acid, which are natural moisturizing factors, Amino masks help to moisturize, protect, and soothe the skin by supplementing the essential ingredients for skin composition."
"Nature's Way, Zinc Chelate, 30 mg, 100 Capsules",Nature's Way,Zinc,Common Cold & Flu,"Since 1969Supports Immune FunctionDietary SupplementZinc supports overall health and is present in all tissues, organs, and secretions of the body. It is provided in advanced chelate complex for optimal absorption. Our zinc is carefully tested and produced to superior quality standards."
"California Gold Nutrition, FOODS, Peanut & Dark Chocolate Chunk Bars, 12 Bars, 1.4 oz (40 g) Each",California Gold Nutrition,Plant Based Protein Bars,Snack Bars,"California Gold Nutrition Peanut & Dark Chocolate Chunk Snack BarsMade with Simple Ingredients: Peanuts, Roasted Almond, Dark Chocolate, and Honey6g Fiber and 8 g Plant Based ProteinSuitable for VegetariansNo Artificial Colors, Artificial Flavors, Artificial Sweeteners, or Artificial PreservativesFormulated without GMOsProduced in a 3rd Party Audited cGMP Registered (Certified) Facility100% Gold GuaranteeFinding satisfying healthy snacks is no easy task. The snacks that taste good are often packed with artificial ingredients and sugar, leaving you feeling like there’s no way to win. California Gold Nutrition Peanut & Dark Chocolate Chunk Snack Bars have found the perfect balance between healthy and tasty, making them the gold standard for snaking. The next time you’re craving a bite, be sure to reach for one of these delicious bars.California Gold Nutrition Peanut & Dark Chocolate Chunk Snack Bars are made with premium chocolate and nuts to create a nutritious and satisfying treat with plenty of fiber and protein. Each bar is individually wrapped, making them perfect for on-the-go snacking anytime, anywhere."
"Amazing Nutrition, L-Citrulline, 1,000 mg, 120 Tablets",Amazing Nutrition,L-Citrulline,,"Amazing Formulas™Dietary SupplementSupports Cardiovascular & Circulatory HealthHelps Reduce Fatigue & Promotes EndurancePromotes Sexual Health2,000 mg Per ServingGMP Good Manufacturing Practice Quality ProductAn FDA Regulated FacilityWe believe that Amazing Nutrition® is the key for Healthy Living. We are passionate about bringing you the finest selection of products which can perfectly complement a healthy diet and active lifestyle.L citrulline is an amino acid and precursor of L-Arginine; it is converted into L-Arginine once inside the body. L-Citrulline helps to increase nitric oxide levels in blood. Higher nitric oxide levels may help relax and dilate blood vessels, thus increasing blood circulation to various organs, including the heart, skin and sexual organs. L-Citrulline supports cardiovascular health. It may also help the body rid itself of ammonia, a by-product of exercise. This clearing may enable the body to recover faster after a workout."
"Thorne Research, Iodine & Tyrosine, 60 Capsules",Thorne Research,L-Tyrosine,Iodine," Dietary Supplement Energy Thyroid Support Gluten FreeSupports the thyroid gland – a benefit for individuals fatigued by low thyroid hormone levels.Iodine & Tyrosine provides nutritional support for the thyroid gland, which helps improve metabolism and supports individuals with fatigue. Tyrosine also promotes healthy adrenal function.Two thyroid hormones – thyroxine (T4) and triiodothyronine (T3) – regulate the body's metabolism of proteins, fats, and carbohydrates, directing how the body uses these compounds to produce energy. Thyroxine supports cardiac output, heart rate, respiratory rate, and basal metabolic rate. The thyroid gland cannot produce these two hormones without the presence of the amino acid L-tyrosine and the mineral iodine. Thus, a deficiency of either the amino acid or the mineral or both can contribute to low thyroid hormone levels. Thorne's Iodine & Tyrosine offers essential mineral and amino acid support for the thyroid gland. Studies have found L-tyrosine can be beneficial for treating fatigue, a common symptom of low thyroid or adrenal hormone levels.Tyrosine is also an important cofactor for adrenal neurotransmitter synthesis, because it is converted in the adrenal glands into dopamine, norepinephrine, and epinephrine.Individuals should be aware that some foods can cause a relative iodine deficiency by binding to iodine, which can make the bound iodine inaccessible for thyroid hormone production. These foods include broccoli, cauliflower, cabbage, Brussels sprouts, kale, soy, peanuts, pine nuts, turnips, and rutabaga, although cooking these foods tends to make them less apt to do this."
"Equal Exchange, Organic Lemongrass Ginger Herbal Tea, Caffeine-Free, 20 Tea Bags, 1.05 oz (30 g)",Equal Exchange,Herbal Tea,,"Equal Exchange Fairly TradedSmall FarmersBig ChangeUSDA OrganicKosherCertified Organic by Oregon TilthMost teas—even those that are certified as fair trade—come from large plantations where workers have little say and are trapped in a system of dependency. Together, we are building a different tea model, one that gives small-scale farmers greater access to the market, affording them more economic power, better lives, and healthier communities.This caffeine-free blend combines the refreshing zing of lemongrass with the peppery finish of ginger. An enjoyable herbal tonic to revitalize and recharge."
